sensor	timestamp	valid	voltage	current	power	marker
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303420	1	-3.40282e+38	-3.40282e+38	61.701	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303436	1	-3.40282e+38	-3.40282e+38	61.701	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303452	1	-3.40282e+38	-3.40282e+38	61.701	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303467	1	-3.40282e+38	-3.40282e+38	61.701	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303483	1	-3.40282e+38	-3.40282e+38	61.701	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303499	1	-3.40282e+38	-3.40282e+38	61.701	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303514	1	-3.40282e+38	-3.40282e+38	61.701	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303530	1	-3.40282e+38	-3.40282e+38	57.852	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303545	1	-3.40282e+38	-3.40282e+38	57.852	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303561	1	-3.40282e+38	-3.40282e+38	57.852	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303576	1	-3.40282e+38	-3.40282e+38	57.852	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303591	1	-3.40282e+38	-3.40282e+38	57.852	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303605	1	-3.40282e+38	-3.40282e+38	57.852	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303621	1	-3.40282e+38	-3.40282e+38	53.763	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303636	1	-3.40282e+38	-3.40282e+38	53.763	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303652	1	-3.40282e+38	-3.40282e+38	53.763	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303666	1	-3.40282e+38	-3.40282e+38	53.763	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303681	1	-3.40282e+38	-3.40282e+38	53.763	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303697	1	-3.40282e+38	-3.40282e+38	53.763	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303712	1	-3.40282e+38	-3.40282e+38	53.763	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303727	1	-3.40282e+38	-3.40282e+38	49.636	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303744	1	-3.40282e+38	-3.40282e+38	49.636	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303759	1	-3.40282e+38	-3.40282e+38	49.636	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303776	1	-3.40282e+38	-3.40282e+38	49.636	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303791	1	-3.40282e+38	-3.40282e+38	49.636	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303806	1	-3.40282e+38	-3.40282e+38	49.636	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303821	1	-3.40282e+38	-3.40282e+38	45.488	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303837	1	-3.40282e+38	-3.40282e+38	45.488	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303853	1	-3.40282e+38	-3.40282e+38	45.488	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303868	1	-3.40282e+38	-3.40282e+38	45.488	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303884	1	-3.40282e+38	-3.40282e+38	45.488	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303900	1	-3.40282e+38	-3.40282e+38	45.488	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303915	1	-3.40282e+38	-3.40282e+38	45.488	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303931	1	-3.40282e+38	-3.40282e+38	44.502	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303947	1	-3.40282e+38	-3.40282e+38	44.502	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303962	1	-3.40282e+38	-3.40282e+38	44.502	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303978	1	-3.40282e+38	-3.40282e+38	44.502	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460303993	1	-3.40282e+38	-3.40282e+38	44.502	waiting
NVML/NVIDIA RTX A6000/0000:09:00.0	13309460304008	1	-3.40282e+38	-3.40282e+38	44.502	waiting
